content,labels
தென்காசி தொகுதி புதிய தமிழகம் கட்சி வேட்பாளர் டாக்டர். கிருஷ்ணசாமியை ஆதரித்து தேமுதிக பொதுச் செயலாளர் பிரேமலதா விஜயகாந்த் ஸ்ரீவில்லிபுத்தூரில் பிரச்சாரம். <hashtag/> <hashtag/>,Neutral
அண்ணன் இதனை சூசகமாக 11 மாதங்கள் முன்பே பேட்டியில் சொல்லிட்டார்..!,Substantiated
ஒரு வருடம் ஆகி விட்டது இந்த துயரம் நேர்ந்து... இன்றுவரை ஒரு ஆணியை கூட பிடுங்காத தமிழக அரசு <hashtag/>,Opinionated
எடப்பாடியை கண்டுகொள்ளாத எடப்பாடி🫢 --- ஆதரிப்பீர் <sunrise over mountains emoji/> உதயசூரியன் <black flag emoji/><triangular flag emoji/> --- <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> stalin <hashtag/> qa <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Positive
எங்களின் அரசியல் அடுத்த தலைமுறைக்குமானது <hashtag/>,Opinionated
திமுக - நாதகவினர் திடீர் மோதல்.. பார்த்து சீமான் கொடுத்த ரியாக்சன்.. நொடியில் பதற்றமான களம் <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Substantiated
"இதே போன்று, அடுத்து மாணவர்களுக்கும், தமிழ்ப்புதல்வன் என்ற பெயரில், மாதம் ஆயிரம் ரூபாய் தரப்போகிறோம். - கழகத் தலைவர், மாண்புமிகு முதலமைச்சர் <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>",Substantiated
கொடநாடு கொலை-கொள்ளை வழக்கு; எடப்பாடி உயர்நீதிமன்றத்தில் மனு more details: <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Positive
வடசென்னை தொகுதி வளரப்போவது உறுதி தேர்தல் பரப்புரை 7/04/24 வெற்றி நமதே <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Positive
"காங்கிரசின் காமராஜரை கொச்சை படுத்தி ஆட்சியை கைப்பற்றியது <hashtag/> , இன்று காங்கிரஸும், திமுகவும் ஒன்று சேர்ந்து கொள்ளையடிக்க கூட்டணி வைத்துள்ளனர் <hashtag/> <hashtag/> <hashtag/> <hashtag/>",Opinionated
